id,driveId,gameId,driveNumber,playNumber,offense,offenseConference,offenseScore,defense,home,away,defenseConference,defenseScore,period,clock,offenseTimeouts,defenseTimeouts,yardline,yardsToGoal,down,distance,yardsGained,scoring,playType,playText,wallclock,ppa
401756853101849903,4017568531,401756853,1,1,South Dakota,MVFC,0,Iowa State,Iowa State,South Dakota,Big 12,0,1,"{'seconds': 0, 'minutes': 15}",3.0,3.0,65,65,1,10,0,False,Kickoff,Zeke Mata kickoff for 65 yds for a touchback,2025-08-30T19:37:45.000Z,
401756853101868903,4017568531,401756853,1,6,South Dakota,MVFC,0,Iowa State,Iowa State,South Dakota,Big 12,0,1,"{'seconds': 10, 'minutes': 13}",3.0,2.0,75,75,1,10,0,False,Timeout,"Timeout Iowa State, clock 13:10",2025-08-30T19:40:00.000Z,
401756853101855801,4017568531,401756853,1,2,Iowa State,Big 12,0,South Dakota,Iowa State,South Dakota,MVFC,0,1,"{'seconds': 41, 'minutes': 14}",3.0,3.0,25,75,1,10,66,False,Pass Reception,Rocco Becht pass complete to Brett Eskildsen for 66 yds to the SDAK 9 for a 1ST down,2025-08-30T20:11:42.000Z,3.6535172960748534
401756853101857901,4017568531,401756853,1,3,Iowa State,Big 12,0,South Dakota,Iowa State,South Dakota,MVFC,0,1,"{'seconds': 20, 'minutes': 14}",3.0,3.0,91,9,1,9,2,False,Rush,Carson Hansen run for 2 yds to the SDAK 7,2025-08-30T20:11:42.000Z,-0.182910644371269
401756853101865201,4017568531,401756853,1,4,Iowa State,Big 12,0,South Dakota,Iowa State,South Dakota,MVFC,0,1,"{'seconds': 47, 'minutes': 13}",3.0,3.0,93,7,2,7,3,False,Rush,Carson Hansen run for 3 yds to the SDAK 4,2025-08-30T20:11:42.000Z,-0.0888244534588445
401756853101868901,4017568531,401756853,1,5,Iowa State,Big 12,7,South Dakota,Iowa State,South Dakota,MVFC,0,1,"{'seconds': 10, 'minutes': 13}",3.0,3.0,96,4,3,4,4,True,Passing Touchdown,Rocco Becht pass complete to Benjamin Brahmer for 4 yds for a TD (Kyle Konrardy KICK),2025-08-30T19:40:00.000Z,2.6959729214765815
401756853101868904,4017568532,401756853,2,1,Iowa State,Big 12,7,South Dakota,Iowa State,South Dakota,MVFC,0,1,"{'seconds': 10, 'minutes': 13}",2.0,3.0,35,65,1,10,0,False,Kickoff,Jace J. Gilbert kickoff for 51 yds,2025-08-30T19:40:00.000Z,
401756853101877001,4017568532,401756853,2,3,South Dakota,MVFC,0,Iowa State,Iowa State,South Dakota,Big 12,7,1,"{'seconds': 29, 'minutes': 12}",3.0,2.0,69,69,2,4,-5,False,Penalty,"PENALTY USD False Start (Hawkins,Adrian) 5 yards from USD31 to USD26. NO PLAY.",2025-08-30T20:11:42.000Z,
401756853101945503,4017568532,401756853,2,15,Iowa State,Big 12,7,South Dakota,Iowa State,South Dakota,MVFC,0,1,"{'seconds': 44, 'minutes': 5}",1.0,3.0,25,75,1,10,0,False,Timeout,"Timeout Iowa State, clock 05:44",2025-08-30T19:53:14.000Z,
401756853101869901,4017568532,401756853,2,2,South Dakota,MVFC,0,Iowa State,Iowa State,South Dakota,Big 12,7,1,"{'seconds': 0, 'minutes': 13}",3.0,2.0,75,75,1,10,6,False,Rush,Charles Pierre Jr. run for 6 yds to the SDAK 31,2025-08-30T20:11:42.000Z,0.3333748010525683
401756853101879301,4017568532,401756853,2,4,South Dakota,MVFC,0,Iowa State,Iowa State,South Dakota,Big 12,7,1,"{'seconds': 6, 'minutes': 12}",3.0,2.0,74,74,2,9,0,False,Pass Incompletion,Aidan Bouman pass incomplete to Tysen Boze,2025-08-30T20:11:42.000Z,-0.40831395320271024
401756853101884201,4017568532,401756853,2,5,South Dakota,MVFC,0,Iowa State,Iowa State,South Dakota,Big 12,7,1,"{'seconds': 57, 'minutes': 11}",3.0,2.0,74,74,3,9,29,False,Pass Reception,Aidan Bouman pass complete to Charles Pierre Jr. for 29 yds to the ISU 45 for a 1ST down,2025-08-30T20:11:42.000Z,3.5970345309586493
401756853101887601,4017568532,401756853,2,6,South Dakota,MVFC,0,Iowa State,Iowa State,South Dakota,Big 12,7,1,"{'seconds': 23, 'minutes': 11}",3.0,2.0,45,45,1,10,2,False,Rush,Charles Pierre Jr. run for 2 yds to the ISU 43,2025-08-30T20:11:42.000Z,-0.548127712470997
401756853101939501,4017568532,401756853,2,13,South Dakota,MVFC,0,Iowa State,Iowa State,South Dakota,Big 12,7,1,"{'seconds': 4, 'minutes': 6}",3.0,2.0,7,7,1,7,1,False,Fumble Recovery (Own),"run for 1 yd to the ISU 6 fumbled, recovered by SDAK Wyatt Lawson",2025-08-30T20:11:42.000Z,-0.331912362454727
401756853101945501,4017568532,401756853,2,14,South Dakota,MVFC,7,Iowa State,Iowa State,South Dakota,Big 12,7,1,"{'seconds': 44, 'minutes': 5}",3.0,2.0,6,6,2,6,6,True,Passing Touchdown,Aidan Bouman pass complete to Larenzo Fenner for 6 yds for a TD (Will Leyland KICK),2025-08-30T19:53:14.000Z,2.528666992781938
